iters	scheduling	tab_size	time
8	dynamic,4096	20	0m0.013s
9	dynamic,4096	20	0m0.008s
0	dynamic,4096	200	0m0.008s
1	dynamic,4096	200	0m0.009s
2	dynamic,4096	200	0m0.007s
3	dynamic,4096	200	0m0.010s
4	dynamic,4096	200	0m0.009s
5	dynamic,4096	200	0m0.003s
6	dynamic,4096	200	0m0.010s
7	dynamic,4096	200	0m0.003s
8	dynamic,4096	200	0m0.002s
9	dynamic,4096	200	0m0.002s
0	dynamic,4096	2000	0m0.011s
1	dynamic,4096	2000	0m0.010s
2	dynamic,4096	2000	0m0.003s
3	dynamic,4096	2000	0m0.009s
4	dynamic,4096	2000	0m0.010s
5	dynamic,4096	2000	0m0.011s
6	dynamic,4096	2000	0m0.007s
7	dynamic,4096	2000	0m0.003s
8	dynamic,4096	2000	0m0.003s
9	dynamic,4096	2000	0m0.003s
0	dynamic,4096	20000	0m0.009s
1	dynamic,4096	20000	0m0.002s
2	dynamic,4096	20000	0m0.010s
3	dynamic,4096	20000	0m0.009s
4	dynamic,4096	20000	0m0.002s
5	dynamic,4096	20000	0m0.003s
6	dynamic,4096	20000	0m0.004s
7	dynamic,4096	20000	0m0.007s
8	dynamic,4096	20000	0m0.009s
9	dynamic,4096	20000	0m0.011s
0	dynamic,4096	200000	0m0.011s
1	dynamic,4096	200000	0m0.009s
2	dynamic,4096	200000	0m0.005s
3	dynamic,4096	200000	0m0.004s
4	dynamic,4096	200000	0m0.003s
5	dynamic,4096	200000	0m0.007s
6	dynamic,4096	200000	0m0.004s
7	dynamic,4096	200000	0m0.010s
8	dynamic,4096	200000	0m0.010s
9	dynamic,4096	200000	0m0.011s
0	dynamic,4096	2000000	0m0.015s
1	dynamic,4096	2000000	0m0.012s
2	dynamic,4096	2000000	0m0.018s
3	dynamic,4096	2000000	0m0.011s
4	dynamic,4096	2000000	0m0.012s
5	dynamic,4096	2000000	0m0.019s
6	dynamic,4096	2000000	0m0.011s
7	dynamic,4096	2000000	0m0.011s
8	dynamic,4096	2000000	0m0.011s
9	dynamic,4096	2000000	0m0.019s
0	dynamic,4096	20000000	0m0.095s
1	dynamic,4096	20000000	0m0.086s
2	dynamic,4096	20000000	0m0.095s
3	dynamic,4096	20000000	0m0.098s
4	dynamic,4096	20000000	0m0.116s
5	dynamic,4096	20000000	0m0.117s
6	dynamic,4096	20000000	0m0.086s
7	dynamic,4096	20000000	0m0.092s
8	dynamic,4096	20000000	0m0.087s
9	dynamic,4096	20000000	0m0.095s
0	dynamic,4096	200000000	0m0.829s
1	dynamic,4096	200000000	0m0.823s
2	dynamic,4096	200000000	0m0.839s
